Name,Gal. Coord.,RA,DEC,Size,Statut
DeGaPe 66,,17:16:00.00,-33:31:24.30,0.1 min d'arc,Etoile avec raies en émission
StDr 134,,17:16:13.41,-30:39:04.50,2.6 min d'arc,Nouvelle candidate
CA 3,,17:16:23.71,-33:57:16.80,0.1 min d'arc,Nouvelle candidate
PreRo 1,,17:16:41.77,-34:46:04.90,0.2 min d'arc,Nouvelle candidate
Ro 1,,17:16:45.91,-34:46:52.40,0.3 min d'arc,Nouvelle candidate
CA 2,,17:16:48.57,-34:05:07.30,0.1 min d'arc,Nouvelle candidate
CA 4,,17:16:54.79,-34:02:30.20,0.1 min d'arc,Nouvelle candidate
St 31,,17:17:12.68,-48:31:56.79,0.5 min d'arc,Nouvelle candidate
LDu-IR 6,,17:17:47.90,-44:46:37.20,min d'arc,
CA 5,,17:17:53.98,-34:16:04.60,0.1 min d'arc,Nouvelle candidate
CA 1,,17:18:01.92,-34:21:20.00,0.1 min d'arc,Nouvelle candidate
Ro 4,,17:18:07.28,-37:53:37.60,0.1 min d'arc,Nouvelle candidate
Pre 12,,17:18:21.00,-34:16:34.80,0.1 min d'arc,Nouvelle candidate
DeGaPe 65,,17:18:26.80,-33:36:31.00,0.1 min d'arc,Nouvelle candidate
Mul-IR 3,,17:18:34.81,-38:48:58.40,min d'arc,
Pre 10,,17:18:46.30,-34:39:21.60,0.1 x 0.2 min d'arc,Nouvelle candidate
Pre 68,,17:19:51.44,-38:09:41.03,0.1 min d'arc,Possible NP
Mul-IR 65,,17:20:19.20,-41:56:35.00,0.1 min d'arc,NP Probable
PreMo 2,,17:20:36.39,-38:12:49.79,0.1 min d'arc,Vraie NP
DeGaPe 68,,17:21:11.80,-35:00:43.50,0.1 min d'arc,Nouvelle candidate
Mo 3,,17:21:54.80,-32:33:44.40,0.2 x 0.1 min d'arc,Nouvelle candidate
Kan 6,,17:22:10.00,-32:48:18.40,0.2 min d'arc,Nouvelle candidate
StDr 72,,17:22:13.64,-40:54:42.54,0.1 min d'arc,Nouvelle candidate
Mul-IR 4,,17:22:17.81,-28:25:35.90,min d'arc,
StDr 73,,17:22:32.28,-28:22:12.00,0.16 min d'arc,Possible NP
Pa 206,,17:22:46.58,-43:09:36.13,0.1 min d'arc,Nouvelle candidate
Ra 62,,17:23:46.39,-13:59:44.40,0.1 min d'arc,Nouvelle candidate
Mo 1,,17:24:29.66,-31:37:40.70,0.1 x 0.2 min d'arc,Nouvelle candidate
Mo Objet 12,,17:25:12.07,-37:52:59.85,2 x 0.3 min d'arc,Nouvelle candidate
Pa 188,,17:25:48.00,-39:26:32.20,0.1 min d'arc,Nouvelle candidate
PreFe 1,,17:26:12.90,-33:10:37.60,0.1 min d'arc,Nouvelle candidate
Pre 16,,17:26:36.30,-23:26:39.00,0.2 x 0.1 min d'arc,Vraie NP
Pa 189,,17:27:19.27,-24:44:04.10,0.1 min d'arc,Nouvelle candidate
Pa Objet 2,,17:27:59.36,-44:22:32.18,0.1 min d'arc,Nouvelle candidate
Pa 190,,17:27:59.90,-32:54:10.10,0.1 min d'arc,Nouvelle candidate
StDr 74,,17:28:00.21,-31:43:36.00,0.1 min d'arc,Nouvelle candidate
Pre 72,,17:28:03.34,-56:59:21.68,9.3 x 5 min d'arc,Nouvelle candidate
Pa 207,,17:28:27.56,-19:35:15.14,0.1 min d'arc,Nouvelle candidate
Mo 20,,17:28:47.38,-22:03:11.60,0.1 min d'arc,Nouvelle candidate
Pa 192,,17:29:07.98,-33:16:30.46,1.2 x 0.9 min d'arc,Nouvelle candidate
DeGaPe 25,,17:29:45.20,-33:50:30.40,0.1 min d'arc,Nouvelle candidate
Pre Objet 11,,17:29:55.88,-51:05:03.25,0.4 min d'arc,Nouvelle candidate
Mo 7,,17:30:12.24,-32:09:03.60,0.1 min d'arc,Nouvelle candidate
Pa 208,,17:30:40.10,-39:39:40.45,0.1 min d'arc,Nouvelle candidate
Pre Objet 13,,17:32:10.41,-56:13:19.80,5.8 x 2.7 min d'arc,Nouvelle candidate
Mul-IR 20,,17:32:11.17,-21:50:02.27,min d'arc,
StDr 108,,17:32:28.97,-33:59:03.30,0.1 min d'arc,Nouvelle candidate
Ra 72,,17:33:06.77,-34:38:16.20,0.1 min d'arc,Nouvelle candidate
Dr 10,,17:33:28.85,-34:05:55.78,0.1 min d'arc,Nouvelle candidate
Pre 32,,17:33:48.64,-15:26:27.50,0.1 min d'arc,Nouvelle candidate
Pre 4,,17:33:54.80,-34:29:41.40,0.1 min d'arc,Nouvelle candidate
Pa 193,,17:34:02.74,-40:32:45.60,0.1 min d'arc,Nouvelle candidate
Pa 209,,17:34:24.90,-38:49:25.00,0.1 min d'arc,Nouvelle candidate
Mul-IR 21,,17:35:18.04,-26:30:03.60,min d'arc,
Mul-LDu-IR 9,,17:36:29.20,+17:40:39.00,min d'arc,
StDr 75,,17:37:16.15,-30:14:10.70,0.1 min d'arc,NP Probable
Pa Objet 5,,17:37:37.00,-44:16:26.00,0.1 min d'arc,Nouvelle candidate
Pre 52,,17:38:06.40,-33:35:45.00,0.1 min d'arc,Nouvelle candidate
Pa 194,,17:38:20.45,-21:40:28.40,0.1 min d'arc,Nouvelle candidate
St 29,,17:38:28.70,-36:16:45.06,0.2 min d'arc,Nouvelle candidate
Pa 195,,17:39:33.08,-24:48:44.90,0.1 min d'arc,Nouvelle candidate
Mul-IR 66,,17:39:43.80,-42:00:41.00,min d'arc,
PreRo 4,,17:40:12.27,-32:19:21.81,0.1 min d'arc,Nouvelle candidate
Mul Objet 8,,17:40:24.30,-32:20:16.21,0.1 min d'arc,Nouvelle candidate
Pa Objet 3,,17:40:49.50,-34:51:58.00,0.1 min d'arc,Nouvelle candidate
Kan 2,,17:41:25.46,-29:51:34.00,0.1 min d'arc,Nouvelle candidate
Mul-IR 22,,17:41:38.30,-24:14:41.00,min d'arc,
StDr 76,,17:41:52.43,-26:19:12.70,0.1 min d'arc,Nouvelle candidate
StDr 77,,17:42:10.95,-27:01:20.80,0.1 min d'arc,Possible NP
Ro 10,,17:42:24.44,-32:57:03.47,0.1 min d'arc,Nouvelle candidate
Ra 61,,17:42:32.40,-18:09:44.20,0.1 min d'arc,NP Probable
Mo 25,,17:42:47.92,-13:42:57.80,0.1 min d'arc,Nouvelle candidate
Pre 17,,17:42:53.92,-34:09:01.80,0.1 min d'arc,Vraie NP
Ra 81,,17:43:44.70,-32:26:03.70,0.1 min d'arc,Nouvelle candidate
Kan 7,,17:44:02.13,-31:06:48.00,0.1 min d'arc,Nouvelle candidate
PaGo 2,,17:44:15.30,+22:36:26.80,10 min d'arc,NP Probable
Mul 18,,17:45:17.72,-31:44:46.20,0.1 min d'arc,Possible NP
Pa 196,,17:46:49.48,-32:05:32.50,0.1 min d'arc,Nouvelle candidate
Kan 1,,17:47:40.29,-25:04:55.70,0.1 min d'arc,Nouvelle candidate
Pre 64,,17:47:52.13,-32:09:50.44,0.3 min d'arc,Nouvelle candidate
PaMo 2,,17:47:59.90,-26:12:38.30,0.1 min d'arc,Nouvelle candidate
StDr 78,,17:48:08.57,-25:56:11.70,0.1 min d'arc,Possible NP
Mo 18,,17:48:12.01,-10:43:03.54,0.1 min d'arc,Nouvelle candidate
StDr 79,,17:49:40.67,-25:26:21.70,0.1 min d'arc,NP Probable
St 66,,17:52:08.56,-28:23:37.88,0.1 min d'arc,Vraie NP
LDû 36,,17:53:06.15,-26:34:07.50,1 min d'arc,NP Probable
Mul-IR 5,,17:54:06.46,-27:02:07.50,min d'arc,
Pa 198,,17:54:36.70,-37:59:45.90,0.1 min d'arc,Nouvelle candidate
Pa Objet 4,,17:54:45.62,-30:25:39.48,0.2 min d'arc,Nouvelle candidate
Pa 199,,17:55:24.00,-37:00:34.00,0.1 min d'arc,Nouvelle candidate
PreMo 3,,17:55:40.60,-21:55:54.00,0.1 min d'arc,Nouvelle candidate
EMol 2,,17:55:50.16,-27:14:09.30,0.1 min d'arc,Nouvelle candidate
Pa 200,,17:56:29.30,-31:56:43.90,0.1 min d'arc,Nouvelle candidate
KinPau 1,,17:56:29.64,-07:22:48.91,20 x 7.5 min d'arc,Nouvelle candidate
PreRo 3,,17:56:40.23,-27:11:18.78,0.1 min d'arc,Nouvelle candidate
Pre 14,,17:56:52.20,-19:33:01.20,0.1 min d'arc,Possible NP
Mul-IR 47,,17:57:53.30,-12:55:38.00,min d'arc,
Mul 11,,17:58:12.22,-28:34:36.83,0.1 min d'arc,Vraie NP
EMol 3,,17:58:23.27,-21:50:28.60,0.1 min d'arc,Nouvelle candidate
Pa 201,,17:58:40.73,-30:10:02.20,0.1 min d'arc,Vraie NP
Pre 58,,17:59:19.67,-17:47:14.90,0.5 min d'arc,Vraie NP
PreRa 1,,18:00:11.91,-22:10:48.98,0.1 min d'arc,Nouvelle candidate
StMul 2,,18:02:35.16,-25:53:24.81,0.1 min d'arc,Nouvelle candidate
StDr 110,,18:02:56.78,-12:24:53.20,0.1 min d'arc,Nouvelle candidate
StDr 52,,18:03:25.73,-16:53:05.23,2.4 min d'arc,Nouvelle candidate
Pre 21,,18:04:19.60,+00:08:04.20,0.1 min d'arc,Vraie NP
Ra 70,,18:04:45.60,-23:12:22.70,0.1 min d'arc,Possible NP
Mul Objet 7,,18:05:16.65,-23:35:39.54,0.1 min d'arc,Nouvelle candidate
Pre 15,,18:05:54.10,-20:06:44.10,0.1 min d'arc,Nouvelle candidate
Mul-IR 23,,18:05:57.22,-20:44:33.70,min d'arc,
Mul 17,,18:07:32.10,-24:20:17.91,0.1 min d'arc,NP Probable
StDr 102,,18:08:03.66,-24:50:59.09,0.1 min d'arc,Vraie NP
LDu-IR 8,,18:08:06.34,-10:29:45.60,min d'arc,
Mul-IR 24,,18:08:23.80,-28:09:31.00,min d'arc,
StDr 80,,18:08:32.66,-28:49:49.87,0.1 min d'arc,Nouvelle candidate
StDr 136,,18:08:41.01,-38:29:36.90,2 min d'arc,Nouvelle candidate
Pa 202,,18:09:08.95,-31:23:52.80,0.1 min d'arc,Nouvelle candidate
PaMo 3,,18:10:15.10,-28:15:28.79,0.1 min d'arc,Nouvelle candidate
LDu-IR 1,,18:10:56.33,-11:24:17.00,min d'arc,
Pre 18,,18:10:57.20,-18:18:39.00,0.1 min d'arc,Nouvelle candidate
StDr 156,,18:11:40.16,-18:30:11.61,10 min d'arc,Nouvelle candidate
TanMul 1,,18:12:15.57,-08:09:43.46,0.1 min d'arc,Nouvelle candidate
StDr 158,,18:12:22.14,-11:40:07.12,13.5 min d'arc,Nouvelle candidate
LDu-IR 12,,18:12:34.27,-16:00:39.40,min d'arc,
LDu-IR 10,,18:12:39.46,-13:34:50.80,0.1 min d'arc,Possible NP
Mul-IR 25,,18:12:49.66,-20:18:54.30,min d'arc,
Pa 197,,18:13:46.14,-28:23:55.80,0.1 min d'arc,Nouvelle candidate
StDr 31,,18:13:54.93,-14:17:06.93,11 x 4.6 min d'arc,Vraie NP
Mul-IR 48,,18:14:09.70,-06:07:52.00,min d'arc,
StMul 1,,18:14:25.97,-15:41:34.17,0.1 min d'arc,NP Probable
StDr 153,,18:14:26.86,-15:53:28.53,2.5 min d'arc,Nouvelle candidate
StDr 111,,18:14:32.70,-23:52:45.60,0.1 min d'arc,Nouvelle candidate
DeGaPe 48,,18:15:36.40,-19:44:05.70,0.1 min d'arc,Nouvelle candidate
DeGaPe 49,,18:15:50.90,-20:23:26.90,0.1 min d'arc,Vraie NP
Pre 13,,18:17:30.93,-55:28:41.40,0.4 x 0.6 min d'arc,Vraie NP
Dr Objet 2,,18:17:34.20,-13:24:54.07,1.1 min d'arc,Nouvelle candidate
DeGaPe 28,,18:18:20.00,-12:14:48.20,0.6 x 0.4 min d'arc,Possible NP
StDr 51,,18:19:11.65,-16:59:23.90,0.7 min d'arc,NP Probable
DeGaPe 29,,18:19:53.90,-11:48:44.00,0.1 min d'arc,Nouvelle candidate
StDr 81,,18:20:13.82,+34:21:08.70,24 min d'arc,Nouvelle candidate
Pre 35,,18:20:14.30,-22:30:14.10,0.1 min d'arc,NP Probable
Mul-IR 49,,18:20:14.40,-12:44:49.00,min d'arc,
Mul-IR 67,,18:20:30.30,+44:49:12.00,min d'arc,
Ro 5,,18:21:10.08,-18:36:29.64,0.5 x 0.4 min d'arc,Nouvelle candidate
StDr 82,,18:21:14.92,-01:23:04.10,0.7 min d'arc,Nouvelle candidate
EMol 4,,18:21:47.91,-17:41:35.40,0.1 min d'arc,Nouvelle candidate
Mul-IR 30,,18:25:10.60,-02:58:55.00,min d'arc,
Ra 11,,18:25:15.00,+00:02:03.00,0.4 min d'arc,Vraie NP
Tan 2,,18:25:17.06,-17:56:30.00,0.1 min d'arc,Vraie NP
StDr 112,,18:27:44.31,-20:34:08.70,0.1 min d'arc,Nouvelle candidate
Pre 53,,18:27:49.75,-13:16:59.20,0.1 min d'arc,Nouvelle candidate
StDr 29,,18:29:02.10,+37:20:05.35,5 min d'arc,NP Probable
StDr 113,,18:29:27.90,-05:39:42.50,0.1 min d'arc,Nouvelle candidate
St 6,,18:30:01.68,-12:00:00.10,0.6 x 0.2 min d'arc,Nouvelle candidate
PaMor 1,,18:30:05.23,+14:16:13.85,5.6 min d'arc,Nouvelle candidate
Mul-IR 6,,18:31:49.60,-06:50:10.00,min d'arc,
StDr 114,,18:32:04.23,+03:04:02.50,0.1 min d'arc,Nouvelle candidate
DeGaPe 51,,18:32:07.81,-14:58:42.90,1 min d'arc,Vraie NP
Mul 13,,18:32:31.90,-04:46:11.30,0.1 min d'arc,NP Probable
Mul 14,,18:32:36.50,-12:46:02.09,0.1 min d'arc,NP Probable
LDû 30,,18:32:49.65,-00:56:37.99,0.1 min d'arc,Vraie NP
Mul-IR 28,,18:33:34.56,-09:57:34.60,min d'arc,
LDu-IR 11,,18:33:42.23,-15:21:12.10,min d'arc,
Mul-IR 26,,18:33:51.49,-24:02:52.30,0.1 min d'arc,Possible NP
Mul-IR 29,,18:34:45.50,-10:59:18.00,min d'arc,
Kan 4,,18:34:54.00,-12:11:23.90,0.1 min d'arc,Vraie NP
Mul-IR 7,,18:35:10.60,+01:04:20.00,min d'arc,
Ra 60,,18:36:01.00,+32:40:19.00,1.8 x 1.5 min d'arc,Nouvelle candidate
LDu-IR 7,,18:36:33.94,-04:08:24.60,min d'arc,
Mul-IR 8,,18:36:43.90,-06:27:25.00,min d'arc,
KanFe 1,,18:36:57.78,-09:29:00.10,0.1 min d'arc,Nouvelle candidate
StDr 115,,18:37:44.48,-16:51:05.80,0.1 min d'arc,Nouvelle candidate
StDr Objet 13,,18:37:52.45,-00:20:54.29,23 min d'arc,Nouvelle candidate
Mul-IR 27,,18:38:01.70,-22:02:48.00,0.1 min d'arc,NP Probable
StDr 116,,18:38:42.85,-13:10:45.40,0.1 min d'arc,Nouvelle candidate
Cop 6,,18:41:37.02,+04:40:29.64,0.5 x 0.2 min d'arc,Objet de nature inconnue
Pre 9,,18:41:46.20,-07:51:29.10,0.1 x 0.2 min d'arc,Vraie NP
Pre 48,,18:42:46.75,-09:50:48.00,0.1 min d'arc,Vraie NP
StDr 117,,18:42:53.58,-08:43:22.20,0.1 min d'arc,Nouvelle candidate
Mo 21,,18:43:54.64,-08:58:32.50,0.1 min d'arc,Nouvelle candidate
Mul-IR 31,,18:44:27.21,-08:30:48.70,min d'arc,
MulPre 1,,18:44:27.21,-08:30:48.70,0.1 min d'arc,NP Probable
Tan 1,,18:45:28.10,-05:31:02.31,0.1 min d'arc,Vraie NP
PaStDr 5,,18:45:41.34,+33:56:4.54,9 min d'arc,Possible NP
Mul-IR 32,,18:46:04.40,+00:38:55.00,min d'arc,
Mo 40,,18:47:20.12,+02:10:23.66,0.4 x 0.3 min d'arc,Nouvelle candidate
StDr 135,,18:48:12.84,-19:00:52.86,4 min d'arc,Nouvelle candidate
Mul-IR 9,,18:48:53.06,+01:28:51.30,0.1 min d'arc,Vraie NP
Mul-IR 10,,18:50:36.20,-02:44:21.00,min d'arc,
StDr 60,,18:51:55.48,+08:40:13.09,1.0 x 0.9 min d'arc,Nouvelle candidate
Sot 1,,18:52:16.73,-00:43:39.25,0.2 min d'arc,Possible NP
StDr 118,,18:52:48.44,-02:46:18.49,0.1 min d'arc,Nouvelle candidate
StDr 119,,18:53:36.55,+37:29:14.62,10 min d'arc,Nouvelle candidate
RaMulMo 1,,18:54:12.34,+05:26:42.90,0.1 min d'arc,Nouvelle candidate
Mul-IR 34,,18:54:31.68,+05:37:12.30,min d'arc,
Ra 1,,18:54:45.77,+36:30:12.00,0.3 min d'arc,Vraie NP
Mul-IR 35,,18:55:14.96,+01:44:58.10,min d'arc,
Mul-IR 36,,18:55:26.30,+02:14:49.00,min d'arc,
Mul-IR 37,,18:55:45.40,+04:24:47.00,min d'arc,
StDr Objet 25,,18:57:23.55,-06:43:28.10,0.1 min d'arc,Nouvelle candidate
RaStDr 1,,18:57:48.70,+00:02:56.90,0.1 min d'arc,Nouvelle candidate
Dr 11,,18:58:33.41,-09:56:38.95,0.7 min d'arc,Nouvelle candidate
StDr 120,,18:59:25.79,+37:30:26.33,10 min d'arc,Nouvelle candidate
Ra Objet 4,,19:00:06.00,+30:38:02.00,0.3 min d'arc,Nouvelle candidate
StDr 83,,19:00:10.02,+13:07:05.90,0.43 min d'arc,Nouvelle candidate
Ek 1,,19:00:27.30,+14:32:04.28,2.2 min d'arc,Nouvelle candidate
Mul-IR 33,,19:01:29.50,-05:40:41.00,min d'arc,
Ra 73,,19:01:31.94,+01:20:41.10,0.1 min d'arc,NP Probable
Mul-LDu-IR 1,,19:03:29.32,+10:53:51.20,min d'arc,
LDû 19,,19:04:10.44,+47:15:18.50,0.25 min d'arc,Nouvelle candidate
Mul-IR 16,,19:04:57.56,+07:44:19.00,0.1 min d'arc,Vraie NP
Ra 2,,19:05:12.00,+16:13:44.00,1 min d'arc,Vraie NP
Mul-IR 13,,19:06:15.34,+12:36:49.10,min d'arc,
RaPas 1,,19:07:32.90,+02:56:26.98,0.1 min d'arc,Nouvelle candidate
RaPas 2,,19:08:12.94,+02:59:48.70,0.1 min d'arc,Nouvelle candidate
StDr 49,,19:08:19.59,-10:18:17.76,9 min d'arc,Nouvelle candidate
Mul-IR 81,,19:08:19.60,+07:35:33.00,min d'arc,
Ra 12,,19:08:29.00,+23:18:25.00,0.2 min d'arc,Nouvelle candidate
LDû Objet 3,,19:08:55.00,+35:27:24.00,0.1 min d'arc,Nouvelle candidate
StDr 24,,19:09:28.66,+19:35:14.16,0.6 min d'arc,Vraie NP
StDr 101,,19:10:03.40,+03:22:24.06,3.75 min d'arc,Vraie NP
StDr 34,,19:10:23.97,+13:32:21.49,0.6 min d'arc,Vraie NP
Dr 33,,19:11:02.73,+15:17:48.00,1.2 min d'arc,NP Probable
Ra 31,,19:11:04.00,+06:08:44.00,0.4 min d'arc,Vraie NP
StDr 160,,19:11:07.75,+03:32:59.27,0.4 min d'arc,Nouvelle candidate
LDû 7,,19:11:22.56,+40:55:38.60,0.2 min d'arc,Possible NP
Cop 5,,19:11:25.44,+05:31:13.69,0.1 min d'arc,NP Probable
LDûPa 1,,19:11:56.23,+15:25:25.20,0.1 min d'arc,Vraie NP
Mul-IR 82,,19:12:08.00,+09:46:15.00,min d'arc,
Ra 3,,19:12:10.00,+16:46:33.00,0.1 min d'arc,Vraie NP
StDr Objet 11,,19:12:13.00,+04:54:16.25,1.3 x 0.8 min d'arc,Nouvelle candidate
Mul 9,,19:12:17.93,+15:33:50.40,0.1 min d'arc,Nouvelle candidate
StDr Objet 32,,19:12:24.14,+03:30:06.90,18 min d'arc,Nouvelle candidate
Sai 1,,19:12:38.83,+02:46:45.74,0.1 min d'arc,Nouvelle candidate
Mul-IR 17,,19:12:47.70,+03:34:35.60,min d'arc,
StDr 14,,19:13:45.30,+13:22:09.99,1 min d'arc,NP Probable
Mul 3,,19:14:23.64,+15:04:55.30,0.1 min d'arc,Nouvelle candidate
EMol 1,,19:15:23.58,+14:43:13.56,0.1 min d'arc,Nouvelle candidate
StDr 45,,19:15:34.52,+15:56:09.00,2.6 min d'arc,NP Probable
MulLDu 2,,19:16:14.99,+14:09:38.14,0.1 min d'arc,Nouvelle candidate
LDu-IR 2,,19:16:15.09,+14:09:38.70,min d'arc,
Mul-IR 14,,19:16:21.40,+16:56:39.60,0.1 min d'arc,Vraie NP
LDu-IR 3,,19:16:28.28,+14:25:33.40,min d'arc,
StDr 28,,19:17:25.11,+20:52:31.20,2 min d'arc,Vraie NP
StDr 16,,19:18:50.58,+03:27:20.62,2.4 min d'arc,Possible NP
Mul 10,,19:19:53.47,+16:42:32.80,0.1 min d'arc,Nouvelle candidate
StDr 84,,19:20:11.50,+08:45:58.40,0.38 min d'arc,Nouvelle candidate
Mul-IR 80,,19:20:14.10,+12:12:22.00,min d'arc,
Dr 37,,19:20:26.60,+12:02:19.81,2 x 1.3 min d'arc,Nouvelle candidate
Pre 6,,19:20:30.00,+16:23:34.00,0.1 min d'arc,Nouvelle candidate
LDu-IR 4,,19:21:44.82,+23:18:18.70,min d'arc,
Mul-IR 15,,19:21:51.40,+14:21:41.30,min d'arc,
Mo 19,,19:23:10.38,+21:41:23.30,0.1 min d'arc,Nouvelle candidate
Mul-IR 79,,19:24:15.50,+23:06:01.00,min d'arc,
Dr 23,,19:25:26.71,+46:46:26.42,8 min d'arc,Nouvelle candidate
Su 1,,19:26:49.00,-04:32:03.00,0.5 x 0.2 min d'arc,Nouvelle candidate
LDû 22,,19:27:45.62,+35:08:57.30,1.6 x 1.0 min d'arc,Nouvelle candidate
Fe 1,,19:28:47.00,+09:34:36.00,0.9 min d'arc,Vraie NP
StDr 85,,19:29:50.33,+19:34:20.42,1.2 min d'arc,Possible NP
St 5,,19:30:45.62,+08:43:30.60,0.6 min d'arc,Nouvelle candidate
StDr 86,,19:30:58.09,+26:58:43.63,1 min d'arc,Possible NP
StDr 87,,19:31:09.65,+00:41:14.40,0.33 min d'arc,Nouvelle candidate
St 67,,19:31:20.13,+08:43:56.40,0.4 x 0.3 min d'arc,Nouvelle candidate
Pa Objet 6,,19:31:26.50,+26:02:38.60,0.1 min d'arc,Nouvelle candidate
StDr 132,,19:31:26.90,+33:27:23.59,4 min d'arc,Nouvelle candidate
Dr 29,,19:32:45.83,+15:43:12.57,6.2 min d'arc,NP Probable
StDr 25,,19:33:49.94,+22:15:05.56,0.4 min d'arc,Vraie NP
StDr Objet 19,,19:34:37.27,+23:49:48.44,1 min d'arc,Objet de nature inconnue
Dr 31,,19:35:50.13,+16:28:47.50,0.6 min d'arc,Nouvelle candidate
Mul-IR 11,,19:36:07.65,+24:29:53.60,min d'arc,
Mul-IR 72,,19:36:24.28,+24:27:16.00,min d'arc,
Maa 1,,19:37:19.83,+32:32:16.79,1.1 min d'arc,Possible NP
Cop 2,,19:37:21.94,+23:36:13.64,1 min d'arc,NP Probable
Ra 24,,19:37:40.00,+20:35:47.00,0.5 min d'arc,Vraie NP
Ou 3,,19:38:16.81,+23:45:45.80,1.5 min d'arc,Vraie NP
Hu 7,,19:38:19.16,+43:52:44.70,5 x 3 min d'arc,Nouvelle candidate
Ra 15,,19:38:36.00,+38:18:34.00,0.4 min d'arc,Possible NP
Ra 14,,19:39:44.00,+58:02:11.00,3.7 min d'arc,Nouvelle candidate
StDr 30,,19:39:47.96,+20:34:10.05,1.3 min d'arc,Vraie NP
StDr 89,,19:40:05.89,+22:35:14.60,3 min d'arc,Nouvelle candidate
StDr 100,,19:40:38.71,+12:31:20.11,1 min d'arc,Nouvelle candidate
Ra 7,,19:40:43.00,+02:30:32.00,2.3 min d'arc,Vraie NP
LDu-IR 5,,19:40:48.51,+27:05:08.90,min d'arc,
StDr 90,,19:41:39.93,+21:45:58.36,2.5 min d'arc,Nouvelle candidate
Cop 1,,19:41:57.12,+34:22:24.46,3.2 min d'arc,Nouvelle candidate
LDû Objet 1,,19:42:27.00,-17:01:06.00,0.4 min d'arc,Nouvelle candidate
Mul Objet 9,,19:42:48.29,+29:02:29.98,0.1 min d'arc,Nouvelle candidate
StDr 173,,19:43:14.29,+18:56:33.50,5 min d'arc,
Mul-IR 68,,19:43:16.19,+26:02:55.10,min d'arc,
Mul-IR 69,,19:43:21.60,+26:01:39.10,min d'arc,
StDr Objet 29,,19:44:08.42,+28:48:31.27,0.6 min d'arc,Nouvelle candidate
DeGaPe 70,,19:44:28.20,-14:40:05.40,0.1 min d'arc,Nouvelle candidate
PaStDr 8,,19:45:11.26,-44:59:53.90,60 min d'arc,Nouvelle candidate
LDû Objet 4,,19:45:37.00,+48:38:27.00,0.2 x 0.4 min d'arc,Nouvelle candidate
Mul-IR 12,,19:45:44.00,+27:14:48.50,0.1 min d'arc,Objet de nature inconnue
Ra 35,,19:45:56.00,+58:06:13.00,4 min d'arc,Nouvelle candidate
LDû 24,,19:46:03.44,+48:35:09.50,0.3 min d'arc,Nouvelle candidate
StDr 26,,19:46:10.90,+17:06:09.11,0.2 min d'arc,Vraie NP
StDr 165,,19:46:20.63,+34:23:38.44,0.8 min d'arc,NP Probable
Fe 4,,19:46:31.00,-09:21:18.00,0.5 min d'arc,Vraie NP
Ra 17,,19:47:28.00,+22:28:24.00,0.3 min d'arc,Vraie NP
StDr Objet 12,,19:47:38.03,+27:18:43.50,0.3 x 0.2 min d'arc,Objet intéressant
RaEMol 1,,19:47:52.63,+26:54:23.38,0.1 min d'arc,Vraie NP
Mul 6,,19:49:00.03,+18:49:52.60,0.1 min d'arc,Nouvelle candidate
Ra 26,,19:49:35.00,+33:36:01.00,0.5 min d'arc,Nouvelle candidate
StDr 91,,19:49:39.11,+30:58:18.47,1.1 min d'arc,Nouvelle candidate
StDr Objet 26,,19:49:48.68,+35:49:14.34,0.35 min d'arc,Etoile avec raies en émission
RaMul 2,,19:49:53.70,+18:40:15.10,0.2 min d'arc,Vraie NP
StDr 7,,19:50:11.26,+26:43:32.09,0.3 min d'arc,Possible NP
Pre 7,,19:50:33.00,+30:15:22.00,0.6 min d'arc,Vraie NP
StDr 148,,19:50:43.10,+18:06:42.11,0.9 min d'arc,Nouvelle candidate
StDr 149,,19:50:46.66,+28:26:10.77,2.2 min d'arc,Nouvelle candidate
Ra Objet 2,,19:50:57.00,+33:47:32.00,0.3 min d'arc,Vraie NP
StDr 150,,19:50:58.49,+27:27:44.52,2 min d'arc,Nouvelle candidate
LDû Objet 6,,19:52:06.00,+09:44:07.00,0.2 min d'arc,Nouvelle candidate
Ou 8,,19:52:23.88,+32:35:59.50,1 x 0.5 min d'arc,Nouvelle candidate
Ou 7,,19:52:45.42,+32:25:36.00,5.7 x 3.2 min d'arc,Vraie NP
Ra 16,,19:53:43.00,+20:26:34.00,0.3 min d'arc,Vraie NP
Ra 13,,19:53:47.00,+33:30:19.00,0.1 min d'arc,Nouvelle candidate
StDr 121,,19:53:47.36,+36:02:17.73,1.5 min d'arc,Nouvelle candidate
StDr Objet 3,,19:54:10.03,+33:58:45.71,0.2 min d'arc,Nouvelle candidate
Mul-IR 75,,19:57:01.50,+32:25:31.00,min d'arc,
Ch 1,,19:57:15.56,+34:47:18.80,1.0 x 0.4 min d'arc,Vraie NP
StDr Objet 27,,19:57:29.91,+40:58:47.60,1.6 min d'arc,Nouvelle candidate
Mul-IR 71,,19:58:09.00,+32:07:10.00,min d'arc,
Mul-IR 76,,19:58:20.40,+32:03:14.00,min d'arc,
St 2,,19:58:49.27,-17:32:57.20,0.4 x 0.3 min d'arc,Nouvelle candidate
StDr 92,,19:59:39.84,+31:14:06.91,1.82 min d'arc,Vraie NP
StDr 103,,20:00:38.97,+34:39:23.04,10 min d'arc,Nouvelle candidate
StDr 109,,20:00:46.99,+36:42:10.72,8 min d'arc,Etoile avec raies en émission
